edge,slope_pct_center,count
Borde frío,-97.5,74
Borde frío,-92.5,86
Borde frío,-87.5,41
Borde frío,-82.5,43
Borde frío,-77.5,42
Borde frío,-72.5,37
Borde frío,-67.5,40
Borde frío,-62.5,38
Borde frío,-57.5,29
Borde frío,-52.5,31
Borde frío,-47.5,29
Borde frío,-42.5,36
Borde frío,-37.5,39
Borde frío,-32.5,29
Borde frío,-27.5,31
Borde frío,-22.5,31
Borde frío,-17.5,37
Borde frío,-12.5,33
Borde frío,-7.5,26
Borde frío,-2.5,31
Borde frío,2.5,42
Borde frío,7.5,34
Borde frío,12.5,26
Borde frío,17.5,28
Borde frío,22.5,22
Borde frío,27.5,18
Borde frío,32.5,20
Borde frío,37.5,14
Borde frío,42.5,13
Borde frío,47.5,17
Borde frío,52.5,16
Borde frío,57.5,11
Borde frío,62.5,8
Borde frío,67.5,10
Borde frío,72.5,7
Borde frío,77.5,15
Borde frío,82.5,8
Borde frío,87.5,10
Borde frío,92.5,11
Borde frío,97.5,4
Borde frío,102.5,6
Borde frío,107.5,11
Borde frío,112.5,10
Borde frío,117.5,9
Borde frío,122.5,12
Borde frío,127.5,4
Borde frío,132.5,12
Borde frío,137.5,6
Borde frío,142.5,4
Borde frío,147.5,7
Borde frío,152.5,5
Borde frío,157.5,5
Borde frío,162.5,5
Borde frío,167.5,5
Borde frío,172.5,5
Borde frío,177.5,3
Borde frío,182.5,9
Borde frío,187.5,3
Borde frío,192.5,3
Borde frío,197.5,4
Borde frío,202.5,3
Borde frío,207.5,8
Borde frío,212.5,4
Borde frío,217.5,7
Borde frío,222.5,3
Borde frío,227.5,1
Borde frío,232.5,3
Borde frío,237.5,5
Borde frío,242.5,5
Borde frío,247.5,5
Borde frío,252.5,0
Borde frío,257.5,4
Borde frío,262.5,4
Borde frío,267.5,1
Borde frío,272.5,5
Borde frío,277.5,3
Borde frío,282.5,2
Borde frío,287.5,2
Borde frío,292.5,5
Borde frío,297.5,372
Centro,-97.5,607
Centro,-92.5,737
Centro,-87.5,561
Centro,-82.5,526
Centro,-77.5,535
Centro,-72.5,433
Centro,-67.5,526
Centro,-62.5,443
Centro,-57.5,461
Centro,-52.5,436
Centro,-47.5,444
Centro,-42.5,491
Centro,-37.5,441
Centro,-32.5,493
Centro,-27.5,492
Centro,-22.5,490
Centro,-17.5,511
Centro,-12.5,535
Centro,-7.5,567
Centro,-2.5,610
Centro,2.5,609
Centro,7.5,457
Centro,12.5,469
Centro,17.5,410
Centro,22.5,375
Centro,27.5,340
Centro,32.5,320
Centro,37.5,258
Centro,42.5,289
Centro,47.5,229
Centro,52.5,218
Centro,57.5,182
Centro,62.5,207
Centro,67.5,161
Centro,72.5,150
Centro,77.5,170
Centro,82.5,153
Centro,87.5,146
Centro,92.5,135
Centro,97.5,115
Centro,102.5,142
Centro,107.5,114
Centro,112.5,104
Centro,117.5,105
Centro,122.5,100
Centro,127.5,98
Centro,132.5,105
Centro,137.5,96
Centro,142.5,101
Centro,147.5,83
Centro,152.5,73
Centro,157.5,85
Centro,162.5,80
Centro,167.5,64
Centro,172.5,80
Centro,177.5,70
Centro,182.5,60
Centro,187.5,62
Centro,192.5,51
Centro,197.5,41
Centro,202.5,50
Centro,207.5,52
Centro,212.5,45
Centro,217.5,53
Centro,222.5,34
Centro,227.5,46
Centro,232.5,42
Centro,237.5,59
Centro,242.5,51
Centro,247.5,36
Centro,252.5,49
Centro,257.5,42
Centro,262.5,42
Centro,267.5,35
Centro,272.5,46
Centro,277.5,45
Centro,282.5,35
Centro,287.5,35
Centro,292.5,46
Centro,297.5,3174
Borde cálido,-97.5,84
Borde cálido,-92.5,108
Borde cálido,-87.5,84
Borde cálido,-82.5,76
Borde cálido,-77.5,73
Borde cálido,-72.5,65
Borde cálido,-67.5,70
Borde cálido,-62.5,74
Borde cálido,-57.5,86
Borde cálido,-52.5,76
Borde cálido,-47.5,55
Borde cálido,-42.5,63
Borde cálido,-37.5,78
Borde cálido,-32.5,84
Borde cálido,-27.5,89
Borde cálido,-22.5,81
Borde cálido,-17.5,82
Borde cálido,-12.5,92
Borde cálido,-7.5,108
Borde cálido,-2.5,113
Borde cálido,2.5,125
Borde cálido,7.5,90
Borde cálido,12.5,69
Borde cálido,17.5,69
Borde cálido,22.5,68
Borde cálido,27.5,53
Borde cálido,32.5,41
Borde cálido,37.5,47
Borde cálido,42.5,50
Borde cálido,47.5,40
Borde cálido,52.5,26
Borde cálido,57.5,34
Borde cálido,62.5,19
Borde cálido,67.5,25
Borde cálido,72.5,21
Borde cálido,77.5,21
Borde cálido,82.5,19
Borde cálido,87.5,16
Borde cálido,92.5,28
Borde cálido,97.5,21
Borde cálido,102.5,14
Borde cálido,107.5,22
Borde cálido,112.5,20
Borde cálido,117.5,17
Borde cálido,122.5,19
Borde cálido,127.5,17
Borde cálido,132.5,7
Borde cálido,137.5,9
Borde cálido,142.5,17
Borde cálido,147.5,13
Borde cálido,152.5,10
Borde cálido,157.5,7
Borde cálido,162.5,7
Borde cálido,167.5,9
Borde cálido,172.5,10
Borde cálido,177.5,5
Borde cálido,182.5,7
Borde cálido,187.5,10
Borde cálido,192.5,9
Borde cálido,197.5,10
Borde cálido,202.5,5
Borde cálido,207.5,3
Borde cálido,212.5,7
Borde cálido,217.5,5
Borde cálido,222.5,7
Borde cálido,227.5,8
Borde cálido,232.5,6
Borde cálido,237.5,6
Borde cálido,242.5,12
Borde cálido,247.5,4
Borde cálido,252.5,7
Borde cálido,257.5,6
Borde cálido,262.5,5
Borde cálido,267.5,6
Borde cálido,272.5,6
Borde cálido,277.5,8
Borde cálido,282.5,6
Borde cálido,287.5,8
Borde cálido,292.5,8
Borde cálido,297.5,391
