temperatura_c,dg_licl_kj_mol,dg_nacl_kj_mol,dg_mgcl2_kj_mol,dg_kcl_kj_mol,dg_cacl2_kj_mol
0,34.64906,289.27938,-82.70878,482.82753,-8.62724
50,24.31149,278.13093,-88.99486,470.25121,-14.34489
100,14.15569,267.08048,-95.21509,457.7104,-20.05794
150,4.14857,256.13395,-101.37809,445.2327,-25.77538
200,-5.72255,245.29152,-107.48969,432.83005,-31.49651
250,-15.46289,234.55146,-113.55417,420.50549,-37.21687
300,-25.0754,223.91123,-119.57492,408.25808,-42.93184
350,-34.56308,213.36801,-125.55473,396.08477,-48.63805
400,-43.92943,202.91928,-131.49589,383.98235,-54.33454
450,-53.17852,192.56329,-137.40007,371.94884,-60.02067
500,-62.31447,182.29911,-143.26864,359.98407,-65.69493
550,-71.34075,172.12669,-149.10287,348.09024,-71.35569
600,-80.2604,162.04687,-154.90383,336.27264,-77.00153
650,-83.65155,152.0613,-160.67243,324.53885,-82.63219
700,-85.58049,142.17259,-166.40946,312.89762,-88.24907
750,-87.4031,132.38431,-169.73835,301.35812,-93.85509
800,-89.145,122.70077,-172.10023,294.33666,-98.29274
850,-91.09798,120.86588,-174.40624,290.63763,-101.78901
900,-100.00745,119.29329,-176.66138,280.85504,-105.24629
950,-108.91712,117.81126,-178.87004,270.187,-108.68046
1000,-117.83267,115.75718,-181.03605,259.62396,-112.11514
1050,-126.75934,106.47563,-183.16278,249.16189,-115.57549
1100,-135.70203,97.18927,-185.25327,238.79702,-119.09235
1150,-144.66535,87.90067,-187.31021,228.52579,-122.71651
1200,-153.6536,78.61262,-189.33604,218.34487,-126.70507
1250,-162.67079,69.3279,-191.33296,208.25114,-130.75503
1300,-171.7207,60.04916,-195.43902,198.24166,-134.84773
1350,-180.80689,50.7788,-200.2833,188.31367,-138.97738
1400,-189.93272,41.51877,-205.12938,178.46453,-143.14588
1450,-199.1014,32.27068,-209.97755,168.69174,-148.20252
1500,-208.31598,23.03584,-214.82812,158.99289,-153.7226
1550,-217.57935,13.81532,-219.68136,149.3657,-159.22752
1600,-226.89431,4.60996,-224.53751,139.80798,-164.71782
1650,-236.26349,-4.57957,-229.39682,130.31761,-170.19401
1700,-245.68945,-13.75277,-234.25949,120.89259,-175.65659
1750,-255.17461,-22.90928,-239.12575,111.53096,-181.10605
1800,-264.72131,-32.04885,-243.99579,102.23086,-186.54287
1850,-274.3318,-41.17133,-248.86981,92.99049,-191.96751
1900,-284.00826,-50.27666,-253.74798,83.80811,-197.38043
1950,-293.75276,-59.36486,-258.6305,74.68203,-202.78206
2000,-303.56731,-68.43601,-263.51753,65.61063,-208.17284
2050,-313.45387,-77.49027,-268.40926,56.59234,-213.55319
2100,-323.41431,-86.52782,-273.30584,47.62563,-218.92353
2150,-333.45046,-95.54891,-278.20745,38.70902,-224.28427
2200,-343.56406,-104.55381,-283.11425,29.84108,-229.63581
2250,-353.75685,-113.54285,-288.0264,21.02039,-234.97854
2300,-364.03046,-122.51635,-292.94406,12.24562,-240.31285
2350,-374.38652,-131.4747,-297.86741,3.51542,-245.63911
2400,-384.8266,-140.41828,-302.79658,-5.17148,-250.9577
2450,-395.35221,-149.34752,-307.73176,-13.81634,-256.26898
2500,-405.96484,-158.26283,-312.67308,-22.4204,-261.57332
2550,-416.66593,-167.16467,-317.62072,-30.98485,-266.87108
2600,-427.45691,-176.0535,-322.57484,-39.51087,-272.16261
2650,-438.33913,-184.92979,-327.53558,-47.99959,-277.44825
2700,-449.31396,-193.79402,-332.50311,-56.45214,-282.72834
2750,-460.38269,-202.6467,-337.4776,-64.86962,-288.00322
2800,-471.54662,-211.48831,-342.45919,-73.2531,-293.27324
2850,-482.80699,-220.31937,-347.44806,-81.60363,-298.53871
2900,-494.16505,-229.14039,-352.44436,-89.92226,-303.79996
2950,-505.62198,-237.95189,-357.44825,-98.20999,-309.05732
3000,-517.17898,-246.75439,-362.45989,-106.46782,-314.3111
