name,type,freq_overall_pct,freq_coral_reef_pct,freq_coastal_pct,freq_open_ocean_pct
"3,5-di-tert-butyl-4-hydroxybenzoic acid",urban,43.98965962947,55.328798185941,32.5301204819277,47.1315092674315
octinoxate,urban,42.4816889271865,50.1133786848072,66.8005354752342,23.477493380406
monoethyl phthalate,urban,31.1503662214562,80.4988662131519,32.3962516733601,11.1209179170344
galaxolidone,urban,30.9349418354157,41.2698412698412,39.4912985274431,21.270962047661
diethyl phthalate,urban,30.5902628177509,78.9115646258503,36.5461847389558,7.85525154457193
tributylphosphine oxide,urban,30.202498922878,35.6009070294784,2.14190093708166,46.6019417475728
"1,3-dicyclohexylurea",urban,29.6423955191727,52.6077097505668,28.9156626506024,21.1827007943512
"3-cyclohexyl-1,1-dimethylurea",urban,27.4881516587677,37.4149659863945,12.8514056224899,33.2744924977934
tris(2-chloropropyl) phosphate,urban,24.4291253769926,46.485260770975,24.0963855421686,16.063548102383
avobenzone,urban,23.0073244291253,18.59410430839,21.6867469879518,25.5957634598411
4-methylphthalic anhydride,urban,23.0073244291253,88.4353741496598,4.14993306559571,9.97352162400706
"n-decyl-n,n-dimethyl-1-decanaminium",urban,21.2408444635932,17.0068027210884,26.5060240963855,19.4174757281553
"2,6-di-tert-butyl-4-(4-morpholinylmethyl)phenol",urban,19.9913830245583,24.4897959183673,42.7041499330655,3.26566637246248
cocamidopropyl betaine,urban,19.8190435157259,11.3378684807256,20.3480589022757,22.7714033539276
triethylphosphate,urban,17.5355450236966,64.172335600907,15.7965194109772,0.529567519858782
nonaethylene glycol,urban,17.277035760448,14.9659863945578,34.2704149933065,6.97263901147396
"1,3-diphenylguanidine",urban,17.0616113744075,13.3786848072562,44.0428380187416,0.706090026478376
dibutyl phthalate,urban,17.0616113744075,14.2857142857142,36.144578313253,5.56045895851721
myristamidpropyl betaine,urban,16.9754416199913,9.07029478458049,26.5060240963855,13.7687555163283
n-butylbenzenesulfonamide,urban,16.7600172339508,14.9659863945578,0.803212851405622,27.9788172992056
atenolol acid,drug,36.7944851357173,16.5532879818594,40.0267737617135,42.5419240953221
delorazepam,drug,24.2998707453683,42.1768707482993,24.8995983935742,16.946160635481
nalidixic acid,drug,16.8031021111589,0.680272108843537,31.8607764390896,13.1509267431597
chloroquine,drug,13.6579060749676,21.9954648526077,29.4511378848728,0.0
valsartan,drug,9.99569151227918,0.226757369614512,18.6077643908969,8.12003530450132
metoprolol,drug,8.91856958207669,3.62811791383219,16.19812583668,6.17828773168579
oxaceprol,drug,8.66006031882809,35.1473922902494,0.133868808567603,3.97175639894086
pranolium,drug,6.16113744075829,8.61678004535147,12.0481927710843,1.32391879964695
atenolol,drug,6.03188280913399,23.8095238095238,3.34672021419009,0.882612533097969
prilocaine,drug,5.04093063334769,0.0,1.07095046854083,9.62047661076787
15(s)-fluprostenol isopropyl ester,drug,4.35157259801809,2.49433106575963,11.9143239625167,0.088261253309797
methamphetamine,drug,4.00689358035329,5.21541950113378,8.56760374832664,0.529567519858782
benzoylecgonine,drug,3.87763894872899,0.907029478458049,11.5127175368139,0.0
carbamazepine,drug,3.79146919431279,0.226757369614512,11.6465863453815,0.0
4-acetamidoantipyrine,drug,3.66221456268849,0.0,11.3788487282463,0.0
"10,11-dihydroxycarbamazepine",drug,3.57604480827229,0.453514739229024,7.89825970548862,1.94174757281553
levorphanol,drug,3.48987505385609,0.453514739229024,10.5756358768406,0.0
lopinavir,drug,3.40370529943989,8.84353741496598,5.35475234270415,0.0
cocaine,drug,3.36062042223179,3.85487528344671,8.16599732262382,0.0
"carbamazepine-10,11-epoxide",drug,2.97285652735889,0.226757369614512,9.10307898259705,0.0
DEET,pesticide,30.3317535545023,48.2993197278911,32.6639892904953,21.8005295675198
icaridin,pesticide,6.41964670400689,21.9954648526077,5.48862115127175,0.970873786407766
metalaxyl acid,pesticide,4.99784575613959,12.9251700680272,5.62248995983935,1.50044130626654
atrazine,pesticide,4.56699698405859,1.58730158730158,13.2530120481927,0.0
carbendazim,pesticide,3.79146919431279,0.226757369614512,11.6465863453815,0.0
metalaxyl,pesticide,3.79146919431279,0.453514739229024,10.9772423025435,0.353045013239188
imazapyr,pesticide,3.31753554502369,0.0,9.50468540829986,0.529567519858782
"2-(methylsulfanyl)-1,3-benzothiazole",pesticide,3.14519603619129,15.4195011337868,0.669344042838018,0.0
trifloxystrobin,pesticide,1.63722533390779,0.0,5.08701472556894,0.0
imazamox,pesticide,1.59414045669969,0.0,4.95314591700133,0.0
5-hydroxythiabendazole,pesticide,0.947867298578199,0.0,2.94511378848728,0.0
trifloxystrobin cga 321113,pesticide,0.947867298578199,2.04081632653061,1.74029451137884,0.0
irgarol,pesticide,0.947867298578199,0.0,2.94511378848728,0.0
thiabendazole,pesticide,0.904782421370099,0.453514739229024,2.54350736278447,0.0
imazalil,pesticide,0.861697544161999,0.226757369614512,2.40963855421686,0.088261253309797
"2,6-dichlorobenzamide",pesticide,0.861697544161999,2.04081632653061,1.47255689424364,0.0
simazine,pesticide,0.818612666953899,0.0,2.54350736278447,0.0
pyrimethanil,pesticide,0.775527789745799,0.0,2.40963855421686,0.0
