especie,categoria,acuerdo,n_trials,n_participantes,se
Hourglass treefrog,Frog,0.7205169628432956,619,578,0.018051179895741665
Pacific field cricket,Insect,0.7189565217391304,5750,3227,0.005928460291777979
Midwife toad,Frog,0.5938009787928222,613,573,0.01985245314921259
Canary,Bird,0.5822784810126582,1106,971,0.014836369997980232
Colorado dwarf frog,Frog,0.5758620689655173,580,539,0.020538726489836272
Tungara frog,Frog,0.5677852348993289,8940,3790,0.00523959088736181
Song sparrow,Bird,0.539067934152562,4313,2783,0.007591032213419912
Green tree frog,Frog,0.5358964299725383,2549,1919,0.009879800490775609
Singing mouse,Mammal,0.534171008274594,3263,2311,0.00873396476200691
Fruitfly,Insect,0.5201834862385321,1090,941,0.015139165478638033
Swamp sparrow,Bird,0.5175359712230215,2224,1756,0.010598221905740723
Cope gray treefrog,Frog,0.4940828402366864,676,622,0.0192436612832819
Gelada,Mammal,0.46593895290074794,9894,3940,0.005015288917133198
Zebra finch,Bird,0.46133461816429777,4151,2715,0.007738263374920662
Bow-winged grasshopper,Insect,0.44988452655889144,2165,1710,0.010694213010931916
Gray treefrog,Frog,0.38485804416403785,634,593,0.019339093084654164
