mouse_id,time_weeks,long_axis_mm,volume_mm3,volume_norm_pct
1,0.0,6.5,137.31,37.67
2,0.0,7.5,210.94,68.7
4,0.0,6.0,108.0,25.19
1,0.571,9.0,364.5,100.0
2,0.571,7.5,210.94,68.7
4,0.571,9.5,428.69,100.0
1,1.143,9.0,364.5,100.0
2,1.143,8.0,256.0,83.37
4,1.143,8.5,307.06,71.63
1,1.571,8.5,307.06,84.24
2,1.571,8.3,285.89,93.11
4,1.571,8.6,318.03,74.19
1,2.571,8.0,256.0,70.23
2,2.571,8.5,307.06,100.0
4,2.571,8.5,307.06,71.63
1,3.143,3.0,13.5,3.7
2,3.143,3.0,13.5,4.4
4,3.143,2.0,4.0,0.93
