bin_center,count
191.29567770255457,48
195.2302829485186,29
199.16488819448267,24
203.09949344044674,19
207.03409868641077,47
210.9687039323748,2
214.90330917833887,35
218.83791442430294,35
222.77251967026697,81
226.707124916231,90
230.64173016219507,142
234.57633540815914,141
238.51094065412317,185
242.4455459000872,220
246.38015114605128,417
250.31475639201534,391
254.24936163797938,564
258.1839668839434,615
262.1185721299075,618
266.05317737587154,500
269.98778262183555,726
273.92238786779967,783
277.8569931137637,925
281.79159835972774,919
285.7262036056918,959
289.6608088516558,1049
293.5954140976199,1032
297.53001934358394,1248
301.46462458954795,1475
305.3992298355121,1764
309.3338350814761,2104
313.26844032744015,2080
317.2030455734042,2005
321.1376508193682,1893
325.0722560653323,2134
329.00686131129635,2057
332.9414665572604,1882
336.8760718032245,2922
340.8106770491885,2631
344.74528229515255,2636
348.6798875411166,2675
352.6144927870806,2512
356.5490980330447,2412
360.48370327900875,2200
364.4183085249728,2413
368.3529137709369,2646
372.2875190169009,2822
376.22212426286495,3103
380.156729508829,3041
384.091334754793,3287
388.0259400007571,3369
391.96054524672115,3196
395.8951504926852,3212
399.8297557386493,2950
403.7643609846133,2957
407.69896623057735,3045
411.6335714765414,2916
415.5681767225054,2804
419.5027819684695,2724
423.43738721443356,2798
427.3719924603976,2535
431.3065977063617,2250
435.2412029523257,2305
439.17580819828976,1718
443.1104134442538,1492
447.0450186902179,1763
450.97962393618195,1375
454.91422918214596,1247
458.84883442811,1167
462.7834396740741,976
466.7180449200381,1018
470.6526501660022,752
474.5872554119662,671
478.52186065793023,589
482.45646590389435,591
486.39107114985836,589
490.3256763958224,692
494.2602816417865,496
498.1948868877505,333
502.1294921337146,381
506.0640973796786,321
509.99870262564264,200
513.9333078716068,246
517.8679131175709,175
521.8025183635348,174
525.7371236094989,262
529.671728855463,212
533.6063341014269,107
537.540939347391,154
541.4755445933552,79
545.410149839319,110
549.3447550852832,122
553.2793603312473,103
557.2139655772112,118
561.1485708231753,51
565.0831760691394,52
569.0177813151035,32
572.9523865610674,14
576.8869918070316,13
580.8215970529957,6
