year,month,month_name,total_inflow_m3s
2011,1,Ene,491.18
2012,1,Ene,738.51
2013,1,Ene,400.87
2014,1,Ene,459.79
2015,1,Ene,412.19
2016,1,Ene,846.81
2017,1,Ene,640.0
2018,1,Ene,847.87
2019,1,Ene,904.8
2020,1,Ene,949.96
2021,1,Ene,1097.3
2022,1,Ene,774.29
2023,1,Ene,621.43
2024,1,Ene,1221.72
2011,2,Feb,669.04
2012,2,Feb,1033.77
2013,2,Feb,680.92
2014,2,Feb,761.77
2015,2,Feb,682.96
2016,2,Feb,849.35
2017,2,Feb,967.14
2018,2,Feb,1048.4
2019,2,Feb,1508.57
2020,2,Feb,1205.55
2021,2,Feb,1324.21
2022,2,Feb,1115.76
2023,2,Feb,973.54
2024,2,Feb,1312.72
2011,3,Mar,303.15
2012,3,Mar,1209.53
2013,3,Mar,1021.95
2014,3,Mar,713.05
2015,3,Mar,756.98
2016,3,Mar,998.64
2017,3,Mar,1309.0
2018,3,Mar,1096.58
2019,3,Mar,1375.2
2020,3,Mar,1052.98
2021,3,Mar,1820.85
2022,3,Mar,1500.15
2023,3,Mar,1450.78
2024,3,Mar,965.59
2011,4,Abr,808.83
2012,4,Abr,793.74
2013,4,Abr,865.26
2014,4,Abr,729.56
2015,4,Abr,1044.56
2016,4,Abr,1075.32
2017,4,Abr,1386.56
2018,4,Abr,1218.59
2019,4,Abr,1177.98
2020,4,Abr,1181.83
2021,4,Abr,1490.92
2022,4,Abr,1366.7
2023,4,Abr,1770.97
2024,4,Abr,1119.88
2011,5,May,477.47
2012,5,May,743.99
2013,5,May,359.32
2014,5,May,781.22
2015,5,May,968.22
2016,5,May,1474.73
2017,5,May,1174.14
2018,5,May,1270.78
2019,5,May,1442.88
2020,5,May,1418.98
2021,5,May,1551.22
2022,5,May,1167.46
2023,5,May,1462.7
2024,5,May,1123.5
2011,6,Jun,387.23
2012,6,Jun,438.97
2013,6,Jun,439.28
2014,6,Jun,615.81
2015,6,Jun,1259.48
2016,6,Jun,1524.74
2017,6,Jun,924.34
2018,6,Jun,1032.28
2019,6,Jun,1416.63
2020,6,Jun,1155.2
2021,6,Jun,1033.85
2022,6,Jun,928.76
2023,6,Jun,1306.34
2024,6,Jun,1008.31
2011,7,Jul,623.03
2012,7,Jul,408.38
2013,7,Jul,450.64
2014,7,Jul,450.23
2015,7,Jul,696.71
2016,7,Jul,986.43
2017,7,Jul,840.99
2018,7,Jul,955.54
2019,7,Jul,1188.96
2020,7,Jul,1037.05
2021,7,Jul,1148.05
2022,7,Jul,1148.36
2023,7,Jul,1260.9
2024,7,Jul,857.12
2011,8,Ago,240.39
2012,8,Ago,307.49
2013,8,Ago,309.35
2014,8,Ago,354.64
2015,8,Ago,409.94
2016,8,Ago,790.98
2017,8,Ago,538.28
2018,8,Ago,664.35
2019,8,Ago,947.35
2020,8,Ago,631.91
2021,8,Ago,611.39
2022,8,Ago,732.93
2023,8,Ago,700.05
2024,8,Ago,498.44
2011,9,Sep,305.45
2012,9,Sep,204.45
2013,9,Sep,240.23
2014,9,Sep,234.01
2015,9,Sep,289.31
2016,9,Sep,627.53
2017,9,Sep,489.38
2018,9,Sep,518.7
2019,9,Sep,588.78
2020,9,Sep,590.3
2021,9,Sep,601.18
2022,9,Sep,508.96
2023,9,Sep,481.13
2024,9,Sep,412.67
2011,10,Oct,176.55
2012,10,Oct,185.45
2013,10,Oct,195.82
2014,10,Oct,311.95
2015,10,Oct,319.45
2016,10,Oct,463.07
2017,10,Oct,521.56
2018,10,Oct,449.64
2019,10,Oct,632.07
2020,10,Oct,513.81
2021,10,Oct,552.05
2022,10,Oct,481.97
2023,10,Oct,538.86
2024,10,Oct,400.73
2011,11,Nov,170.56
2012,11,Nov,163.42
2013,11,Nov,126.96
2014,11,Nov,173.81
2015,11,Nov,230.57
2016,11,Nov,283.33
2017,11,Nov,354.43
2018,11,Nov,451.58
2019,11,Nov,597.07
2020,11,Nov,360.71
2021,11,Nov,577.91
2022,11,Nov,417.0
2023,11,Nov,520.86
2024,11,Nov,311.81
2011,12,Dic,327.28
2012,12,Dic,135.48
2013,12,Dic,123.67
2014,12,Dic,186.59
2015,12,Dic,435.95
2016,12,Dic,271.09
2017,12,Dic,403.25
2018,12,Dic,528.96
2019,12,Dic,701.37
2020,12,Dic,561.17
2021,12,Dic,692.13
2022,12,Dic,405.98
2023,12,Dic,804.22
2024,12,Dic,446.12
