lon,lat,elev_m
150.395730395,-2.57724378799998,-2467
151.532603271,-5.34104086599996,-2491
150.913669642,-4.96192454899995,-2405
150.557998451,-4.69387435999994,-2293
149.199491933,-2.70409965499994,-2268
150.053635613,-3.35774613399997,-2391
153.741176824,-4.08643741999992,-2108
154.685694379,-4.59258693699996,-2299
154.909029579,-4.98344455699993,-2341
149.373590803,-2.52551553099994,-2400
155.038812944,-4.69235972799993,-2245
154.856390511,-4.53841087599994,-2218
153.679027882,-6.01440705199997,-2323
154.549814821,-6.66616295999995,-2137
153.126920565,-6.59132890899997,-2075
149.173490065,-6.28995515899993,-1982
150.837636738,-6.85914058599997,-1983
149.314725074,-5.96476956399994,-1802
148.768733598,-5.74833276999993,-1706
-45.4158088619999,11.3591861960001,-2604
-44.596574286,11.583542252,-2665
-44.918213841,13.103714812,-2880
-147.21,-4.99999999999994,-2531
148.47,-7.74999999999994,-1586
148.7,-7.19999999999993,-1993
148.29,-7.43999999999994,-1806
-23.894314853,17.839144785,-2978
149.76,-7.70999999999998,-1699
149.94,-7.92999999999995,-1756
-15.1679999999999,31.6030000000001,-3941
132.832,-5.05899999999997,-2359
132.694,-3.61499999999995,-2237
131.193,-1.65399999999994,-1815
121.636,2.16700000000003,-1916
147.827,-7.46199999999993,-1638
140.492,-5.62999999999994,-2270
142.634,-3.72499999999997,-2452
144.791,-4.04999999999995,-2211
122.409,1.70400000000006,-933
-52.881,36.5170000000001,-3193
-55.944,44.1940000000001,-2203
9.70000000000005,37.6030000000001,-2709
-146.353863514,-5.28034531099996,-2200
71.9440000000001,29.462,-1702
148.003,-7.62499999999994,-1592
147.411,-6.64899999999994,-1827
-14.4039999999999,32.1900000000001,-3823
-57.254,34.931,-1240
